Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
310,1836515,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
311,1836534,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
312,1836550,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
313,1836581,"akandes_python_backend/chips_interpreter.py",238,12,"def greet():",python,content
314,1836599,"akandes_python_backend/chips_interpreter.py",252,25,"    print('Hello World!')",python,content
315,1836616,"akandes_python_backend/chips_interpreter.py",279,33,"    print('This is AkandeChips!')",python,content
316,1836649,"akandes_python_backend/chips_interpreter.py",316,7,"greet()",python,content
317,1858302,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
318,1858355,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
319,1858376,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
320,1858401,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
321,1858417,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
322,1858435,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
323,1858602,"akandes_python_backend/chips_interpreter.py",238,12,"def greet(name):",python,content
324,1858621,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
325,1858681,"akandes_python_backend/chips_interpreter.py",283,33,"",python,content
326,1858707,"akandes_python_backend/chips_interpreter.py",285,0,"greet('Akande')",python,content
327,1858734,"akandes_python_backend/chips_interpreter.py",302,7,"",python,content
328,1858800,"akandes_python_backend/chips_interpreter.py",306,2,"",python,content
329,1885581,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
330,1885612,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
331,1885642,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
332,1885675,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
333,1885693,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
334,1885716,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
335,1885747,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
336,1885767,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
337,1885799,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
338,1891399,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
339,1891429,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
340,1891460,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
341,1891488,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
342,1891513,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
343,1891531,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
344,1891563,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
345,1891581,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
346,1891613,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
347,1901516,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
348,1901548,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
349,1901588,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
350,1901623,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
351,1901653,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
352,1901673,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
353,1901720,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
354,1901754,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
355,1901811,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
356,1901846,"akandes_python_backend/chips_interpreter.py",304,0,"for i in range(5):",python,content
357,1901865,"akandes_python_backend/chips_interpreter.py",324,0,"    print('Number:', i)",python,content
358,1901884,"akandes_python_backend/chips_interpreter.py",347,0,"\r\n",python,content
359,1901907,"akandes_python_backend/chips_interpreter.py",349,0,"\r\n",python,content
360,1901939,"akandes_python_backend/chips_interpreter.py",351,0,"\r\n",python,content
361,1922860,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
362,1922897,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
363,1922938,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
364,1922962,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
365,1922980,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
366,1922996,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
367,1923034,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
368,1923047,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
369,1923079,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
370,1923112,"akandes_python_backend/chips_interpreter.py",304,18,"",python,content
371,1923134,"akandes_python_backend/chips_interpreter.py",306,23,"",python,content
372,1923152,"akandes_python_backend/chips_interpreter.py",306,6,"",python,content
373,1935409,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
374,1935443,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
375,1935477,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
376,1935521,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
377,1935559,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
378,1935595,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
379,1935640,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
380,1935658,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
381,1935692,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
382,1935741,"akandes_python_backend/chips_interpreter.py",304,0,"for i in range(5):",python,content
383,1935760,"akandes_python_backend/chips_interpreter.py",324,0,"    print('Number:', i)",python,content
384,1935777,"akandes_python_backend/chips_interpreter.py",347,0,"\r\n",python,content
385,1935796,"akandes_python_backend/chips_interpreter.py",349,0,"\r\n",python,content
386,1935815,"akandes_python_backend/chips_interpreter.py",351,0,"\r\n",python,content
387,1950019,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
388,1950059,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
389,1950093,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
390,1950116,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
391,1950142,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
392,1950162,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
393,1950201,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
394,1950225,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
395,1950265,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
396,1950295,"akandes_python_backend/chips_interpreter.py",304,18,"",python,content
397,1950311,"akandes_python_backend/chips_interpreter.py",306,23,"",python,content
398,1950333,"akandes_python_backend/chips_interpreter.py",306,6,"",python,content
399,1953930,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
400,1953966,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
401,1953992,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
402,1954024,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
403,1954042,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
404,1954060,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
405,1954094,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
406,1954114,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
407,1954152,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
408,1954189,"akandes_python_backend/chips_interpreter.py",304,0,"for i in range(5):",python,content
409,1954208,"akandes_python_backend/chips_interpreter.py",324,0,"    print('Number:', i)",python,content
410,1954227,"akandes_python_backend/chips_interpreter.py",347,0,"\r\n",python,content
411,1954246,"akandes_python_backend/chips_interpreter.py",349,0,"\r\n",python,content
412,1954264,"akandes_python_backend/chips_interpreter.py",351,0,"\r\n",python,content
413,1960180,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
414,1960206,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
415,1960236,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
416,1960266,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
417,1960293,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
418,1960327,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
419,1960361,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
420,1960377,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
421,1960408,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
422,1960441,"akandes_python_backend/chips_interpreter.py",304,18,"for i in range(5):",python,content
423,1960457,"akandes_python_backend/chips_interpreter.py",324,23,"    print('Number:', i)",python,content
424,1960490,"akandes_python_backend/chips_interpreter.py",351,0,"x = 10",python,content
425,1960507,"akandes_python_backend/chips_interpreter.py",359,0,"if x > 5:",python,content
426,1960526,"akandes_python_backend/chips_interpreter.py",368,0,"\r\n    print('x is greater than 5')",python,content
427,1960545,"akandes_python_backend/chips_interpreter.py",402,0,"\r\nelse:",python,content
428,1960560,"akandes_python_backend/chips_interpreter.py",409,0,"\r\n    print('x is 5 or less')",python,content
429,1960576,"akandes_python_backend/chips_interpreter.py",438,0,"\r\n",python,content
430,1960593,"akandes_python_backend/chips_interpreter.py",440,0,"\r\n",python,content
431,1960610,"akandes_python_backend/chips_interpreter.py",442,0,"\r\n",python,content
432,1978599,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
433,1978632,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
434,1978658,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
435,1978690,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
436,1978707,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
437,1978724,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
438,1978757,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
439,1978774,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
440,1978809,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
441,1978840,"akandes_python_backend/chips_interpreter.py",304,18,"for i in range(5):",python,content
442,1978859,"akandes_python_backend/chips_interpreter.py",324,23,"    print('Number:', i)",python,content
443,1978891,"akandes_python_backend/chips_interpreter.py",351,6,"x = 10",python,content
444,1978913,"akandes_python_backend/chips_interpreter.py",359,9,"if x > 5:",python,content
445,1978931,"akandes_python_backend/chips_interpreter.py",370,32,"    print('x is greater than 5')",python,content
446,1978947,"akandes_python_backend/chips_interpreter.py",404,5,"else:",python,content
447,1978965,"akandes_python_backend/chips_interpreter.py",411,27,"    print('x is 5 or less')",python,content
448,1979009,"akandes_python_backend/chips_interpreter.py",442,0,"class Person:",python,content
449,1979031,"akandes_python_backend/chips_interpreter.py",457,0,"    def __init__(self, name):",python,content
450,1979058,"akandes_python_backend/chips_interpreter.py",486,0,"\r\n        self.name = name",python,content
451,1979074,"akandes_python_backend/chips_interpreter.py",512,0,"\r\n",python,content
452,1979092,"akandes_python_backend/chips_interpreter.py",514,0,"\r\n    def say_hello(self):",python,content
453,1979110,"akandes_python_backend/chips_interpreter.py",540,0,"\r\n        print('Hello, my name is', self.name)",python,content
454,1979127,"akandes_python_backend/chips_interpreter.py",587,0,"\r\n",python,content
455,1979143,"akandes_python_backend/chips_interpreter.py",589,0,"\r\np = Person('Akande')",python,content
456,1979178,"akandes_python_backend/chips_interpreter.py",611,0,"\r\np.say_hello()",python,content
457,1979218,"akandes_python_backend/chips_interpreter.py",626,0,"\r\n",python,content
458,1979270,"akandes_python_backend/chips_interpreter.py",628,0,"\r\n",python,content
459,1979293,"akandes_python_backend/chips_interpreter.py",630,0,"\r\n",python,content
460,2015860,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
461,2015890,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
462,2015922,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
463,2015955,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
464,2015984,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
465,2016016,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
466,2016056,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
467,2016073,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
468,2016112,"akandes_python_backend/chips_interpreter.py",285,15,"greet('Akande')",python,content
469,2016142,"akandes_python_backend/chips_interpreter.py",304,18,"for i in range(5):",python,content
470,2016159,"akandes_python_backend/chips_interpreter.py",324,23,"    print('Number:', i)",python,content
471,2016191,"akandes_python_backend/chips_interpreter.py",351,6,"x = 10",python,content
472,2016213,"akandes_python_backend/chips_interpreter.py",359,9,"if x > 5:",python,content
473,2016240,"akandes_python_backend/chips_interpreter.py",370,32,"    print('x is greater than 5')",python,content
474,2016261,"akandes_python_backend/chips_interpreter.py",404,5,"else:",python,content
475,2016276,"akandes_python_backend/chips_interpreter.py",411,27,"    print('x is 5 or less')",python,content
476,2016308,"akandes_python_backend/chips_interpreter.py",442,13,"class Person:",python,content
477,2016324,"akandes_python_backend/chips_interpreter.py",457,29,"    def __init__(self, name):",python,content
478,2016347,"akandes_python_backend/chips_interpreter.py",488,24,"        self.name = name",python,content
479,2016406,"akandes_python_backend/chips_interpreter.py",516,24,"    def say_hello(self):",python,content
480,2016425,"akandes_python_backend/chips_interpreter.py",542,45,"        print('Hello, my name is', self.name)",python,content
481,2016455,"akandes_python_backend/chips_interpreter.py",591,20,"p = Person('Akande')",python,content
482,2016471,"akandes_python_backend/chips_interpreter.py",613,13,"p.say_hello()",python,content
483,2129165,"akandes_python_backend/chips_interpreter.py",628,0,"        \r\n# Arithmetic operations\r\nresult = 2 + 3 * 4\r\nprint('Result of 2 + 3 * 4:', result)\r\n\r\n# String manipulation\r\ns = 'AkandeChips'\r\nprint('Uppercase:', s.upper())\r\n\r\n# List comprehension\r\nsquares = [x * x for x in range(1, 6)]\r\nprint('Squares:', squares)\r\n",python,content
484,2395577,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
485,2395605,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
486,2395640,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
487,2395661,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
488,2395678,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
489,2395694,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
490,2395729,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
491,2395745,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
492,2395764,"akandes_python_backend/chips_interpreter.py",283,0,"greet('Akande')",python,content
493,2395780,"akandes_python_backend/chips_interpreter.py",300,15,"",python,content
494,2395796,"akandes_python_backend/chips_interpreter.py",302,0,"for i in range(5):",python,content
495,2395812,"akandes_python_backend/chips_interpreter.py",322,18,"    print('Number:', i)",python,content
496,2395828,"akandes_python_backend/chips_interpreter.py",347,23,"",python,content
497,2395848,"akandes_python_backend/chips_interpreter.py",349,0,"x = 10",python,content
498,2395867,"akandes_python_backend/chips_interpreter.py",357,6,"if x > 5:",python,content
499,2395883,"akandes_python_backend/chips_interpreter.py",368,9,"    print('x is greater than 5')",python,content
500,2395899,"akandes_python_backend/chips_interpreter.py",402,32,"else:",python,content
501,2395914,"akandes_python_backend/chips_interpreter.py",409,5,"    print('x is 5 or less')",python,content
502,2395930,"akandes_python_backend/chips_interpreter.py",438,27,"",python,content
503,2395946,"akandes_python_backend/chips_interpreter.py",440,0,"class Person:",python,content
504,2395963,"akandes_python_backend/chips_interpreter.py",455,13,"    def __init__(self, name):",python,content
505,2395981,"akandes_python_backend/chips_interpreter.py",486,29,"        self.name = name",python,content
506,2396001,"akandes_python_backend/chips_interpreter.py",512,24,"",python,content
507,2396015,"akandes_python_backend/chips_interpreter.py",514,0,"    def say_hello(self):",python,content
508,2396058,"akandes_python_backend/chips_interpreter.py",540,24,"        print('Hello, my name is', self.name)",python,content
509,2396091,"akandes_python_backend/chips_interpreter.py",587,45,"",python,content
510,2396109,"akandes_python_backend/chips_interpreter.py",589,0,"p = Person('Akande')",python,content
511,2396136,"akandes_python_backend/chips_interpreter.py",611,20,"p.say_hello()",python,content
512,2396165,"akandes_python_backend/chips_interpreter.py",626,13,"        ",python,content
513,2396184,"akandes_python_backend/chips_interpreter.py",636,8,"# Arithmetic operations",python,content
514,2396200,"akandes_python_backend/chips_interpreter.py",661,23,"result = 2 + 3 * 4",python,content
515,2396216,"akandes_python_backend/chips_interpreter.py",681,18,"print('Result of 2 + 3 * 4:', result)",python,content
516,2396234,"akandes_python_backend/chips_interpreter.py",720,37,"",python,content
517,2396255,"akandes_python_backend/chips_interpreter.py",722,0,"# String manipulation",python,content
518,2396283,"akandes_python_backend/chips_interpreter.py",745,21,"s = 'AkandeChips'",python,content
519,2396299,"akandes_python_backend/chips_interpreter.py",764,17,"print('Uppercase:', s.upper())",python,content
520,2396316,"akandes_python_backend/chips_interpreter.py",796,30,"",python,content
521,2396335,"akandes_python_backend/chips_interpreter.py",798,0,"# List comprehension",python,content
522,2396350,"akandes_python_backend/chips_interpreter.py",820,20,"squares = [x * x for x in range(1, 6)]",python,content
523,2396367,"akandes_python_backend/chips_interpreter.py",860,38,"print('Squares:', squares)",python,content
524,2396383,"akandes_python_backend/chips_interpreter.py",888,26,"",python,content
525,2396430,"akandes_python_backend/chips_interpreter.py",892,2,"",python,content
526,2430196,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
527,2430226,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
528,2430857,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
529,2430875,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
530,2431554,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
531,2431574,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
532,2431638,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
533,2431659,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
534,2431676,"akandes_python_backend/chips_interpreter.py",283,15,"greet('Akande')",python,content
535,2431709,"akandes_python_backend/chips_interpreter.py",302,18,"for i in range(5):",python,content
536,2431745,"akandes_python_backend/chips_interpreter.py",322,23,"    print('Number:', i)",python,content
537,2431776,"akandes_python_backend/chips_interpreter.py",349,6,"x = 10",python,content
538,2431791,"akandes_python_backend/chips_interpreter.py",357,9,"if x > 5:",python,content
539,2431808,"akandes_python_backend/chips_interpreter.py",368,32,"    print('x is greater than 5')",python,content
540,2431826,"akandes_python_backend/chips_interpreter.py",402,5,"else:",python,content
541,2431857,"akandes_python_backend/chips_interpreter.py",409,27,"    print('x is 5 or less')",python,content
542,2431891,"akandes_python_backend/chips_interpreter.py",440,13,"class Person:",python,content
543,2431909,"akandes_python_backend/chips_interpreter.py",455,29,"    def __init__(self, name):",python,content
544,2431930,"akandes_python_backend/chips_interpreter.py",486,24,"        self.name = name",python,content
545,2431961,"akandes_python_backend/chips_interpreter.py",514,24,"    def say_hello(self):",python,content
546,2431976,"akandes_python_backend/chips_interpreter.py",540,45,"        print('Hello, my name is', self.name)",python,content
547,2432009,"akandes_python_backend/chips_interpreter.py",589,20,"p = Person('Akande')",python,content
548,2432026,"akandes_python_backend/chips_interpreter.py",611,13,"p.say_hello()",python,content
549,2432042,"akandes_python_backend/chips_interpreter.py",626,8,"        ",python,content
550,2432058,"akandes_python_backend/chips_interpreter.py",636,23,"# Arithmetic operations",python,content
551,2432074,"akandes_python_backend/chips_interpreter.py",661,18,"result = 2 + 3 * 4",python,content
552,2432090,"akandes_python_backend/chips_interpreter.py",681,37,"print('Result of 2 + 3 * 4:', result)",python,content
553,2432123,"akandes_python_backend/chips_interpreter.py",722,21,"# String manipulation",python,content
554,2432138,"akandes_python_backend/chips_interpreter.py",745,17,"s = 'AkandeChips'",python,content
555,2432154,"akandes_python_backend/chips_interpreter.py",764,30,"print('Uppercase:', s.upper())",python,content
556,2432188,"akandes_python_backend/chips_interpreter.py",798,20,"# List comprehension",python,content
557,2432206,"akandes_python_backend/chips_interpreter.py",820,38,"squares = [x * x for x in range(1, 6)]",python,content
558,2432222,"akandes_python_backend/chips_interpreter.py",860,26,"print('Squares:', squares)",python,content
559,2446701,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
560,2446739,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
561,2446782,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
562,2446802,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
563,2446824,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
564,2446848,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
565,2446884,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
566,2446907,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
567,2446924,"akandes_python_backend/chips_interpreter.py",283,15,"greet('Akande')",python,content
568,2446956,"akandes_python_backend/chips_interpreter.py",302,18,"for i in range(5):",python,content
569,2446973,"akandes_python_backend/chips_interpreter.py",322,23,"    print('Number:', i)",python,content
570,2447009,"akandes_python_backend/chips_interpreter.py",349,6,"x = 10",python,content
571,2447040,"akandes_python_backend/chips_interpreter.py",357,9,"if x > 5:",python,content
572,2447058,"akandes_python_backend/chips_interpreter.py",368,32,"    print('x is greater than 5')",python,content
573,2447074,"akandes_python_backend/chips_interpreter.py",402,5,"else:",python,content
574,2447091,"akandes_python_backend/chips_interpreter.py",409,27,"    print('x is 5 or less')",python,content
575,2447125,"akandes_python_backend/chips_interpreter.py",440,13,"class Person:",python,content
576,2447146,"akandes_python_backend/chips_interpreter.py",455,29,"    def __init__(self, name):",python,content
577,2447163,"akandes_python_backend/chips_interpreter.py",486,24,"        self.name = name",python,content
578,2447205,"akandes_python_backend/chips_interpreter.py",514,24,"    def say_hello(self):",python,content
579,2447222,"akandes_python_backend/chips_interpreter.py",540,45,"        print('Hello, my name is', self.name)",python,content
580,2447257,"akandes_python_backend/chips_interpreter.py",589,20,"p = Person('Akande')",python,content
581,2447274,"akandes_python_backend/chips_interpreter.py",611,13,"p.say_hello()",python,content
582,2447290,"akandes_python_backend/chips_interpreter.py",626,8,"        ",python,content
583,2447311,"akandes_python_backend/chips_interpreter.py",636,23,"# Arithmetic operations",python,content
584,2447325,"akandes_python_backend/chips_interpreter.py",661,18,"result = 2 + 3 * 4",python,content
585,2447341,"akandes_python_backend/chips_interpreter.py",681,37,"print('Result of 2 + 3 * 4:', result)",python,content
586,2447372,"akandes_python_backend/chips_interpreter.py",722,21,"# String manipulation",python,content
587,2447392,"akandes_python_backend/chips_interpreter.py",745,17,"s = 'AkandeChips'",python,content
588,2447406,"akandes_python_backend/chips_interpreter.py",764,30,"print('Uppercase:', s.upper())",python,content
589,2447436,"akandes_python_backend/chips_interpreter.py",798,20,"# List comprehension",python,content
590,2447454,"akandes_python_backend/chips_interpreter.py",820,38,"squares = [x * x for x in range(1, 6)]",python,content
591,2447470,"akandes_python_backend/chips_interpreter.py",860,26,"print('Squares:', squares)",python,content
592,2465208,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
593,2465261,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
594,2465303,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
595,2465335,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
596,2465357,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
597,2465382,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
598,2465439,"akandes_python_backend/chips_interpreter.py",238,16,"def greet(name):",python,content
599,2465474,"akandes_python_backend/chips_interpreter.py",256,25,"    print('Hello,', name)",python,content
600,2465489,"akandes_python_backend/chips_interpreter.py",283,15,"greet('Akande')",python,content
601,2465525,"akandes_python_backend/chips_interpreter.py",302,18,"for i in range(5):",python,content
602,2465541,"akandes_python_backend/chips_interpreter.py",322,23,"    print('Number:', i)",python,content
603,2465581,"akandes_python_backend/chips_interpreter.py",349,6,"x = 10",python,content
604,2465607,"akandes_python_backend/chips_interpreter.py",357,9,"if x > 5:",python,content
605,2465640,"akandes_python_backend/chips_interpreter.py",368,32,"    print('x is greater than 5')",python,content
606,2465664,"akandes_python_backend/chips_interpreter.py",402,5,"else:",python,content
607,2465689,"akandes_python_backend/chips_interpreter.py",409,27,"    print('x is 5 or less')",python,content
608,2465724,"akandes_python_backend/chips_interpreter.py",440,13,"class Person:",python,content
609,2465740,"akandes_python_backend/chips_interpreter.py",455,29,"    def __init__(self, name):",python,content
610,2465758,"akandes_python_backend/chips_interpreter.py",486,24,"        self.name = name",python,content
611,2465807,"akandes_python_backend/chips_interpreter.py",514,24,"    def say_hello(self):",python,content
611,2465807,"akandes_python_backend/chips_interpreter.py",514,24,"    def say_hello(self):",python,content
612,2465853,"akandes_python_backend/chips_interpreter.py",540,45,"        print('Hello, my name is', self.name)",python,content
613,2465930,"akandes_python_backend/chips_interpreter.py",589,20,"p = Person('Akande')",python,content
